saha_id,uretici,mapeg_no,il_ilce,durum,kaynak,koordinat_y,koordinat_x,notlar
P_001,DOĞADAN BIMS,Bilinmiyor,Nevşehir/Kırkbayır Yolu,Aktif,Map,38.5630331, 34.7333988,Niğde Yolu
P_002,MertBims,Bilinmiyor,Nevşehir/Kırkbayır Yolu,Aktif,Map,38.56393, 34.66063,Niğde Yolu
P_003,ELİT BİMS,Bilinmiyor,Nevşehir,Aktif,2014 Çevre Raporu,38.5570352,34.7358021, Göre Yolu 8. KM
P_005,ÖZ-SA MADENCİLİK,Bilinmiyor,Nevşehir,Aktif,2014 Çevre Raporu,38.668830, 34.763343,
P_006,ÖZ-SA MADENCİLİK,Bilinmiyor,Nevşehir/2,Aktif,2014 Çevre Raporu,38.669028, 34.766717,
P_007,GüvenBims,Bilinmiyor,Nevşehir,Aktif,MAp,38.54654, 34.67416,
P_008,Surbims,Bilinmiyor,Nevşehir,Aktif,2014 Çevre Raporu,38.49907, 34.74569,
P_009,Üçer5 Pomza,Bilinmiyor,Nevşehir,Aktif,Map,38.5323616, 34.8189902,
P_010,SüphanBims,Bilinmiyor,Nevşehir/Göre,Aktif,ÇED Duyurusu,38.53849, 34.75587,
P_011,MukaBims,Bilinmiyor,Nevşehir,Aktif,ÇED Duyurusu,38.54418, 34.68086,
P_012,HEKİMOĞLU TAŞ OCAĞI,Biinmiyor,Nevşehir/Türkeli,Aktif,Map,38.709201, 34.798963,
P_013,BlockBims,Bilinmiyor,Nevşehir,Aktif,Map,38.51309, 34.75182,
P_014,BlockBims,Bilinmiyor,Nevşehir/Bölge2,Aktif,Map,38.50959, 34.75928,
P_015,NeuvaBims,Bilinmiyor,Nevşehir,Aktif,Map,38.4998, 34.74896,
P_016,Göztepe,Bilinmiyor,Nevşehir/Kaymaklı,Aktif,Map,38.472741, 34.733994,
P_018,EmirBims,Bilinmiyor,Nevşehir,Aktif,Map,38.5036890, 34.7579380,
P_019,DengeBims,Bilinmiyor,Nevşehir,Aktif,Map,38.54103, 34.75727,
P_020,KayıBims,Bilinmiyor,Nevşehir,Aktif,Map,38.54003, 34.71516,
P_021,İZOTAŞ,Bilinmiyor,Nevşehir,Aktif,Map,38.583612, 34.765823,
P_022,MacroBims,Bilinmiyor,Nevşehir,Aktif,Map,38.584178, 34.778590,
P_023,Üçler1,Bilinmiyor,Nevşehir,Aktif,Map,38.5561502, 34.7646966,
P_024,ÇavuşoğluBims,Bilinmiyor,Nevşehir,Aktif,Map,38.5451623, 34.7525236,
P_025,TeknoBims,Bilinmiyor,Nevşehir/Aksalur,Aktif,Map,38.543784, 34.746677,
P_026,MinerMadencilik,Bilinmiyor,Nevşehir/A,Aktif,Map,38.54735, 34.73861,
P_027,İzobims,Bilinmiyor,Nevşehir/Güvercinlik,Aktif,Map,38.55085, 34.72575,
P_028,IgbBims,Bilinmiyor,Nevşehir/Güvercinlik,Aktif,Map,38.54446, 34.733441,
P_029,AnkaBims,Bilinmiyor,Nevşehir/Güvercinlik,Aktif,Map,38.545195, 34.735907,



